,45
uMax:1,7.44538954720912
uMax:2,7.180397956055828
lowO2_fast_growth:1,3.48123094246918
lowO2_fast_growth:2,3.194489756719864
lowCH4:1,0.9110959839987012
lowCH4:2,1.1904838778104336
lowCH4:3,2.3556618990643776
lowCH4:4,2.21834354176687
lowCH4:5,-0.6174919811173829
lowCH4:6,-0.6184716389637664
lowCH4:7,-1.282358973623007
lowCH4:8,-0.5491744246086654
MeOH:1,14.019263879323482
MeOH:2,11.61992239851948
MeOH:3,12.27193307828364
MeOH:4,4.688831684068126
MeOH:5,4.584742849599291
lowO2_fast_growth:3,12.22246033396782
lowO2_fast_growth:4,2.5687918457043666
lowO2_fast_growth:5,2.450615330541316
lowO2_fast_growth:6,0.8590967743454254
lowO2_fast_growth:7,-0.0539905610277475
uMax:3,-1.354858349481024
uMax:4,-1.0762631350318357
uMax:5,2.751946210001148
uMax:6,-6.2458270446365365
uMax:7,-5.478773843553128
uMax:8,-1.7789707337843852
uMax:9,-1.8417241388811
uMax:10,4.9953924570687525
uMax:11,-2.361770670994638
uMax:12,-2.234938253972216
lowO2_fast_growth:8,-0.3562706543626471
lowO2_fast_growth:9,-0.5781516667200572
lowO2_fast_growth:10,8.055424592880707
lowO2_fast_growth:11,-2.5564384837906373
lowO2_fast_growth:12,-1.812251044040073
MeOH:6,8.361563477137578
MeOH:7,8.14861019042103
NoCu:1,-1.9241337343685103
medCu:1,1.4074582883871145
highCu:1,1.4963965467159914
highCu:2,-2.2000075715967693
highCu:3,-2.166168462910663
highCu:4,1.3389713397614411
highCu:5,-1.3245458546272555
NoCu:2,-2.8912531445580503
NoCu:3,-9.265107631920756
lowCu:1,-1.859918101042515
lowCu:2,-2.2009769874577985
medCu:2,-1.3362123173389426
medCu:3,-1.3392892894241497
medCu:4,0.7069798912745952
medCu:5,0.7768412163875549
lowCu:3,-5.4759236134517
lowCu:4,0.431452430686966
lowCu:5,-1.1221613694198609
lowCu:6,-1.8929491674778915
lowCu:7,-6.717113324333906
lowCu:8,-4.507171388924875
medCu:6,-0.1937070984303491
medCu:7,0.4721229450240238
highO2_slow_growth:1,-5.041832022976417
highO2_slow_growth:2,-4.942872449974754
highO2_slow_growth:3,-5.405929875962333
highO2_slow_growth:4,-6.157334112705692
NO3_lowO2_slow_growth:1,-3.5963253055208915
NO3_lowO2_slow_growth:2,-2.684069430807811
NO3_lowO2_slow_growth:3,-4.222070913118297
NO3_lowO2_slow_growth:4,-5.718986456560401
LanzaTech:1,-9.256946422647852
LanzaTech:2,-9.33384243602478
WithLanthanum:1,0.126988448772017
NoLanthanum:1,-1.86652101145277
aa3_KO:1,-7.79441987344392
aa3_KO:2,-3.779183432393206
crotonic_acid:1,-4.327180285080646
crotonic_acid:2,-7.499570804091218
WithLanthanum:2,-13.654668820899929
WithLanthanum:3,-14.86642826019128
NoLanthanum:2,-15.037729857301262
NoLanthanum:3,-13.828705916614147
WithLanthanum:4,-17.460265193491065
WithLanthanum:5,-16.83770389330434
NoLanthanum:4,-14.445589463308032
NoLanthanum:5,-15.3786198403819
